CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,
Time: 10:51:54 PM,,,,,,,,,,,,,,,,,,,,,
Station,"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,
Parameter,"AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2",,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:20:59Z 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,
 , ,,Anand Vihar , , , , ,,,,,,,,,,,,,,
From Date,To Date,Code,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2
01-02-2013 00:00,02-02-2013 00:00,AV,,743.34,,430.81,,282.76,17.72,25.26,,0.33,4.21,6.25,1.66,169.78,304.03,194.42,607.71,72.15,14.9
02-02-2013 00:00,03-02-2013 00:00,AV,,742.44,,354.11,,251.18,17.86,21.82,,0.4,2.45,4.89,1.45,201.94,185.66,162.64,411.5,47.8,33.7
03-02-2013 00:00,04-02-2013 00:00,AV,,736.93,,179.0,,331.32,24.23,16.51,,,2.14,3.25,2.14,133.65,121.7,194.9,350.98,46.15,25.43
04-02-2013 00:00,05-02-2013 00:00,AV,,735.43,,174.21,,274.45,18.66,32.03,,0.29,1.28,2.47,1.67,147.31,55.81,122.98,191.87,25.06,41.1
05-02-2013 00:00,06-02-2013 00:00,AV,,737.6,,77.15,,266.69,17.13,11.2,,0.16,0.91,1.37,1.27,126.28,41.84,100.57,151.55,13.82,14.42
06-02-2013 00:00,07-02-2013 00:00,AV,,743.83,,67.15,,288.99,18.4,6.63,,0.1,0.82,1.66,1.26,106.72,59.65,101.25,177.3,15.93,8.73
07-02-2013 00:00,08-02-2013 00:00,AV,,744.12,,50.23,,303.15,16.42,5.62,,0.1,0.69,1.63,1.28,80.33,79.94,133.29,235.4,24.81,10.24
08-02-2013 00:00,09-02-2013 00:00,AV,,740.56,,84.18,,346.44,15.7,5.19,,,0.86,1.87,1.27,77.32,101.88,139.84,272.38,28.28,8.38
09-02-2013 00:00,10-02-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
10-02-2013 00:00,11-02-2013 00:00,AV,,740.48,,312.81,,332.22,20.59,13.73,,,3.25,3.75,1.55,129.17,175.06,228.03,456.74,53.25,31.61
