CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Saturday, Mar 10 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 03:11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"PB, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"AT,Benzene,BP,CH4,CO,Eth-Benzene,NH3,NMHC,NO,NO2,NOx,O Xylene,Ozone,PM10,PM2.5,MP-Xylene,RH,SO2,SR,SPM,THC,VWS,WD,WS,Temp,Toluene",,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T16:37:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PB, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,PB , , , , ,,,,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,AT,Benzene,BP,CH4,CO,Eth-Benzene,Temp,Toluene,NH3,NMHC,NO,NO2,NOx,O Xylene,SR,SPM,THC,VWS,WD,WS,Ozone,PM10,PM2.5,MP-Xylene,RH,SO2
25-03-2017 00:00,26-03-2017 00:00,PB ,24.94,0.81,738,,0,,,2.64,,,4.02,0,53.11,,108.53,,,0.14,47.94,1.87,0,0,0,,36.86,0
26-03-2017 00:00,27-03-2017 00:00,PB ,25.97,0.82,738,,0,,,1.81,,,2.46,0,45.17,,107.72,,,0.06,47.13,2.02,0,0,0,,35.74,0
27-03-2017 00:00,28-03-2017 00:00,PB ,27.5,0.77,738,,0,,,2.23,,,4.83,0,54.72,,110.11,,,0.08,40.67,2.04,0,0,0,,36.11,0
28-03-2017 00:00,29-03-2017 00:00,PB ,28.78,1.67,738,,0,,,4.34,,,9.14,0,69.03,,108.32,,,0.11,53.58,1.44,0,0,0,,36.59,0
29-03-2017 00:00,30-03-2017 00:00,PB ,29.43,1.02,738,,0,,,2.61,,,5.88,0,54.95,,107.96,,,0.12,51.01,1.81,0,0,0,,34.52,0
30-03-2017 00:00,31-03-2017 00:00,PB ,29.34,0.93,738,,0,,,2.24,,,4.54,0,52.34,,108.33,,,0.06,47.49,1.9,0,0,0,,34.24,0
31-03-2017 00:00,1/4/2017 0:00,PB ,29.77,0.9,738,,0,,,2.47,,,16.16,0,82.01,,103.36,,,0.02,70.15,1.18,0,0,0,,32.73,0
1/4/2017 0:00,2/4/2017 0:00,PB ,25.21,1.1,738,,0,,,3.78,,,1.55,0,52.97,,8.59,,,,83.8,0.75,0,0,0,,45.3,0
2/4/2017 0:00,3/4/2017 0:00,PB ,32.92,0.43,738,,0,,,2.08,,,4.99,0,66.49,,119.45,,,0.12,41.78,2.04,0,0,0,,18.62,0
3/4/2017 0:00,4/4/2017 0:00,PB ,30.41,0.72,738,,0,,,2.37,,,9.58,0,74.66,,109.72,,,0.05,65.21,1.41,0,0,0,,23.64,0
4/4/2017 0:00,5/4/2017 0:00,PB ,28.64,0.52,738,,0,,,2.46,,,17.1,0,76.59,,86.48,,,0.14,70.2,2.08,0,0,0,,28.68,0
5/4/2017 0:00,6/4/2017 0:00,PB ,26.46,0.35,738,,0,,,1.71,,,15.02,0,73.78,,116.88,,,-0.13,84.12,2.14,0,0,0,,39.91,0
6/4/2017 0:00,7/4/2017 0:00,PB ,28.71,0.81,738,,0,,,2.03,,,3.99,0,43.74,,120.55,,,0.01,90.28,2.39,0,0,0,,26.62,0
7/4/2017 0:00,8/4/2017 0:00,PB ,27.38,0.98,738,,0,,,2.51,,,17.89,0,91.8,,114.48,,,-0.03,64.76,1.18,0,0,0,,20.42,0
8/4/2017 0:00,9/4/2017 0:00,PB ,26.02,1.33,738,,0,,,3.9,,,13.88,0,83.33,,119.78,,,0.02,77.59,1.26,0,0,0,,13.76,0
9/4/2017 0:00,10/4/2017 0:00,PB ,25.04,0.25,738,,0,,,1.17,,,1.87,0,40.3,,117.64,,,0.24,34.29,2.87,0,0,0,,15.18,0
10/4/2017 0:00,11/4/2017 0:00,PB ,25.47,0.53,738,,0,,,1.54,,,4.32,0,52.66,,116.41,,,0.11,36.33,2.58,0,0,0,,16.6,0
11/4/2017 0:00,12/4/2017 0:00,PB ,28.28,0.73,738,,0,,,2.32,,,4.67,0,60.12,,114.86,,,0.13,36.93,2.42,0,0,0,,15.3,0
12/4/2017 0:00,13-04-2017 00:00,PB ,29.8,0.85,738,,0,,,3.27,,,34.47,0,115.61,,112.11,,,0.17,61.91,1.71,0,0,0,,17.35,0
13-04-2017 00:00,14-04-2017 00:00,PB ,30.26,2.98,738,,0,,,11.98,,,209.8,0,283.4,,113.94,,,0.04,95.82,0.8,0,0,0,,18.72,0
14-04-2017 00:00,15-04-2017 00:00,PB ,31.04,1.49,738,,0,,,7.14,,,184.31,0,586.38,,109.67,,,0.02,95.11,0.67,0,0,0,,21.08,0
15-04-2017 00:00,16-04-2017 00:00,PB ,32.27,1.2,738,,0,,,5.66,,,145.08,0,527.81,,142.7,,,0.14,76.1,1.27,0,0,0,,23.28,0
16-04-2017 00:00,17-04-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
17-04-2017 00:00,18-04-2017 00:00,PB ,35.5,0.88,738,,0,,,6.47,,,40.18,0,246.81,,53.01,,,0.13,65.32,0.99,0,0,0,,24.5,0
18-04-2017 00:00,19-04-2017 00:00,PB ,34.02,1.75,738,,0,,,3.89,,,15.22,0,139.56,,102.96,,,0.08,67.18,1.25,0,0,0,,23.94,0
19-04-2017 00:00,20-04-2017 00:00,PB ,34.17,2.1,738,,0,,,7.9,,,120.06,0,344.06,,104.7,,,0.02,81.58,1.06,0,0,0,,16.28,0
20-04-2017 00:00,21-04-2017 00:00,PB ,30.8,1.72,738,,0,,,7.45,,,65.01,0,223.99,,110.17,,,0.02,87.57,0.76,0,0,0,,24.02,0
21-04-2017 00:00,22-04-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
22-04-2017 00:00,23-04-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
23-04-2017 00:00,24-04-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
24-04-2017 00:00,25-04-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
25-04-2017 00:00,26-04-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
26-04-2017 00:00,27-04-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
27-04-2017 00:00,28-04-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
28-04-2017 00:00,29-04-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
29-04-2017 00:00,30-04-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
30-04-2017 00:00,1/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2017 0:00,2/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2017 0:00,3/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2017 0:00,4/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2017 0:00,5/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2017 0:00,6/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2017 0:00,7/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2017 0:00,8/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2017 0:00,9/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2017 0:00,10/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2017 0:00,11/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2017 0:00,12/5/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2017 0:00,13-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
13-05-2017 00:00,14-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
14-05-2017 00:00,15-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
15-05-2017 00:00,16-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
16-05-2017 00:00,17-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
17-05-2017 00:00,18-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
18-05-2017 00:00,19-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
19-05-2017 00:00,20-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
20-05-2017 00:00,21-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-2017 00:00,22-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
22-05-2017 00:00,23-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
23-05-2017 00:00,24-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2017 00:00,25-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2017 00:00,26-05-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
26-05-2017 00:00,27-05-2017 00:00,PB ,37.7,0.94,738,,0,,,30.08,,,7.75,0,150.42,,31.55,,,-0.04,52.33,1.85,,0,0,,20.54,
27-05-2017 00:00,28-05-2017 00:00,PB ,32.91,0.43,738,,0,,,15.06,,,4.56,0,104.89,,100.23,,,-0.01,85.5,1.85,,0,0,,36.17,
28-05-2017 00:00,29-05-2017 00:00,PB ,29.77,0.3,738.74,,0,,,10.22,,,6.21,0,97.74,,105.66,,,-0.06,82.48,1.94,,0,0,,47.77,
29-05-2017 00:00,30-05-2017 00:00,PB ,26.76,0.44,740.24,,0,,,8.53,,,12.09,0,116.53,,86.07,,,-0.02,74.01,1.67,,0,0,,56.61,
30-05-2017 00:00,31-05-2017 00:00,PB ,32.79,0.49,738.01,,0,,,8.85,,,8.35,0,126.2,,116.1,,,0.01,84.2,1.25,0,0,0,,37.82,0
31-05-2017 00:00,1/6/2017 0:00,PB ,26.86,0.58,738.3,,0,,,8.46,,,23.91,0,141.48,,77.81,,,0.02,89.47,1.46,0,0,0,,59.45,0
1/6/2017 0:00,2/6/2017 0:00,PB ,30.1,1.99,738,,0,,,10.82,,,15.58,0,131.16,,104.18,,,0.04,79.66,1.09,0,0,0,,48.78,0
2/6/2017 0:00,3/6/2017 0:00,PB ,33.09,1.79,738,,0,,,9.58,,,14.68,0,118.54,,105,,,0.04,78.68,1.03,0,0,0,,34.42,0
3/6/2017 0:00,4/6/2017 0:00,PB ,36,2.48,738,,0,,,11.07,,,19.53,0,124.97,,103.19,,,0.16,80.06,1.51,0,0,0,,25.92,0
4/6/2017 0:00,5/6/2017 0:00,PB ,38.01,0.87,738,,0,,,5.87,,,7.51,0,79.22,,106.27,,,0,68.94,1.62,0,0,0,,19.64,0
5/6/2017 0:00,6/6/2017 0:00,PB ,38.46,0.7,738,,0,,,5.18,,,6.34,0,63.98,,106.75,,,0,63.33,1.91,0,0,0,,23.31,0
6/6/2017 0:00,7/6/2017 0:00,PB ,36.43,0.7,738,,0,,,4.27,,,6.61,0,58.7,,105.73,,,-0.03,72.14,1.9,0,0,0,,31.05,0
7/6/2017 0:00,8/6/2017 0:00,PB ,29.37,0.35,738,,0,,,4.86,,,12.03,0,84.54,,80.42,,,-0.02,78.4,2.14,0,0,0,,46.03,0
8/6/2017 0:00,9/6/2017 0:00,PB ,28.13,0.55,738,,0,,,5.29,,,7.38,0,76.46,,122.3,,,0.08,72.94,1.61,0,0,0,,51.84,0
9/6/2017 0:00,10/6/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2017 0:00,11/6/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2017 0:00,12/6/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/2017 0:00,13-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
13-06-2017 00:00,14-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
14-06-2017 00:00,15-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
15-06-2017 00:00,16-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
16-06-2017 00:00,17-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-2017 00:00,18-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-2017 00:00,19-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
19-06-2017 00:00,20-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
20-06-2017 00:00,21-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-2017 00:00,22-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
22-06-2017 00:00,23-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
23-06-2017 00:00,24-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-2017 00:00,25-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-2017 00:00,26-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
26-06-2017 00:00,27-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
27-06-2017 00:00,28-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
28-06-2017 00:00,29-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
29-06-2017 00:00,30-06-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
30-06-2017 00:00,1/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2017 0:00,2/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/2017 0:00,3/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2017 0:00,4/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2017 0:00,5/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2017 0:00,6/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2017 0:00,7/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2017 0:00,8/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2017 0:00,9/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/2017 0:00,10/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2017 0:00,11/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2017 0:00,12/7/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2017 0:00,13-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2017 00:00,14-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2017 00:00,15-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2017 00:00,16-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2017 00:00,17-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2017 00:00,18-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2017 00:00,19-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2017 00:00,20-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2017 00:00,21-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2017 00:00,22-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
22-07-2017 00:00,23-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
23-07-2017 00:00,24-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
24-07-2017 00:00,25-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
25-07-2017 00:00,26-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
26-07-2017 00:00,27-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
27-07-2017 00:00,28-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
28-07-2017 00:00,29-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
29-07-2017 00:00,30-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
30-07-2017 00:00,31-07-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
31-07-2017 00:00,1/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2017 0:00,2/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/2017 0:00,3/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/2017 0:00,4/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2017 0:00,5/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2017 0:00,6/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2017 0:00,7/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2017 0:00,8/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2017 0:00,9/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2017 0:00,10/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2017 0:00,11/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2017 0:00,12/8/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/2017 0:00,13-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
13-08-2017 00:00,14-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
14-08-2017 00:00,15-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-2017 00:00,16-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
16-08-2017 00:00,17-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
17-08-2017 00:00,18-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
18-08-2017 00:00,19-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
19-08-2017 00:00,20-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
20-08-2017 00:00,21-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
21-08-2017 00:00,22-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
22-08-2017 00:00,23-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
23-08-2017 00:00,24-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
24-08-2017 00:00,25-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
25-08-2017 00:00,26-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
26-08-2017 00:00,27-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
27-08-2017 00:00,28-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
28-08-2017 00:00,29-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-2017 00:00,30-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
30-08-2017 00:00,31-08-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
31-08-2017 00:00,1/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2017 0:00,2/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/2017 0:00,3/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/2017 0:00,4/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2017 0:00,5/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2017 0:00,6/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2017 0:00,7/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2017 0:00,8/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2017 0:00,9/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/2017 0:00,10/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2017 0:00,11/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2017 0:00,12/9/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/2017 0:00,13-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
13-09-2017 00:00,14-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
14-09-2017 00:00,15-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
15-09-2017 00:00,16-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
16-09-2017 00:00,17-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
17-09-2017 00:00,18-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
18-09-2017 00:00,19-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
19-09-2017 00:00,20-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
20-09-2017 00:00,21-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
21-09-2017 00:00,22-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
22-09-2017 00:00,23-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
23-09-2017 00:00,24-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
24-09-2017 00:00,25-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
25-09-2017 00:00,26-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2017 00:00,27-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
27-09-2017 00:00,28-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
28-09-2017 00:00,29-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
29-09-2017 00:00,30-09-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
30-09-2017 00:00,1/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2017 0:00,2/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2017 0:00,3/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2017 0:00,4/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2017 0:00,5/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2017 0:00,6/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2017 0:00,7/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2017 0:00,8/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2017 0:00,9/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2017 0:00,10/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2017 0:00,11/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2017 0:00,12/10/2017 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/2017 0:00,13-10-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
13-10-2017 00:00,14-10-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
14-10-2017 00:00,15-10-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
15-10-2017 00:00,16-10-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2017 00:00,17-10-2017 00:00,PB ,26.86,,,,,,,,,,,,,,,,,0.01,,0.44,,,,,,
17-10-2017 00:00,18-10-2017 00:00,PB ,25.37,,,,3.85,,,,37.65,,88.7,210.94,319.21,,,,,0.03,,0.85,19.5,,,,,55.85
18-10-2017 00:00,19-10-2017 00:00,PB ,25.63,,,,2.61,,,,40.36,,52.8,153.93,216.1,,,,,0.03,,0.77,49.3,,,,,43.74
19-10-2017 00:00,20-10-2017 00:00,PB ,24.72,,,,2.48,,,,46.51,,66.35,146.77,228.63,,,,,0,,0.5,53.86,,,,,41.37
20-10-2017 00:00,21-10-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
21-10-2017 00:00,22-10-2017 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
22-10-2017 00:00,23-10-2017 00:00,PB ,25.03,,,,2.79,,,,,,,,,,,,,0,,0.36,15.96,,,,,38.14
23-10-2017 00:00,24-10-2017 00:00,PB ,25.28,,738,,3.31,,,,51.2,,258.02,435.96,765.07,,21.89,,,0,113.66,0.47,52.97,403.22,154.33,,38.5,48.87
24-10-2017 00:00,25-10-2017 00:00,PB ,23.93,,738,,3.1,,,,55.32,,69.04,189.13,271.41,,81.13,,,0.02,95.65,0.7,42.86,397.42,209.42,,44.62,37.28
25-10-2017 00:00,26-10-2017 00:00,PB ,22.95,,738,,3.28,,,,57.27,,77.43,196.49,290.01,,80.39,,,0,104.41,0.49,51.2,447.12,241.5,,46.02,38.52
26-10-2017 00:00,27-10-2017 00:00,PB ,23.62,1.67,738,,3.73,,,10.13,53.89,,122.62,284.11,434.37,,78.47,,,0,115.89,0.52,47.99,427.5,205.83,,46.59,42.72
27-10-2017 00:00,28-10-2017 00:00,PB ,23.3,1.53,738,,2.29,,,8.55,58.95,,31.85,159.53,191.72,,72.88,,,0,113.42,0.59,44.04,389.96,190.42,,51.5,36.64
28-10-2017 00:00,29-10-2017 00:00,PB ,23.18,1.92,738,,2.86,,,9.48,58.17,,66.73,226.76,302.78,,72.38,,,0,92.28,0.48,42.63,447.79,221.79,,47.66,45.99
