CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,,,,,
Time: 10:53:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"Aya Nagar, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:21:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Aya Nagar, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,Aya Nagar , , , , ,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene
03-02-2013 00:00,04-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
04-02-2013 00:00,05-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
05-02-2013 00:00,06-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
06-02-2013 00:00,07-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
07-02-2013 00:00,08-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
08-02-2013 00:00,09-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
09-02-2013 00:00,10-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
10-02-2013 00:00,11-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
11-02-2013 00:00,12-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
12-02-2013 00:00,13-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
13-02-2013 00:00,14-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
14-02-2013 00:00,15-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
15-02-2013 00:00,16-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
16-02-2013 00:00,17-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
17-02-2013 00:00,18-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
18-02-2013 00:00,19-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
19-02-2013 00:00,20-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
20-02-2013 00:00,21-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
21-02-2013 00:00,22-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
22-02-2013 00:00,23-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
23-02-2013 00:00,24-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
24-02-2013 00:00,25-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
25-02-2013 00:00,26-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
26-02-2013 00:00,27-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
27-02-2013 00:00,28-02-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
28-02-2013 00:00,01-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
01-03-2013 00:00,02-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
02-03-2013 00:00,03-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
03-03-2013 00:00,04-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
04-03-2013 00:00,05-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
05-03-2013 00:00,06-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
06-03-2013 00:00,07-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
07-03-2013 00:00,08-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
08-03-2013 00:00,09-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
09-03-2013 00:00,10-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
10-03-2013 00:00,11-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
11-03-2013 00:00,12-03-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
