CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,
Time: 01:33:59 AM,,,,,,,,,,,,,,,,
Station,"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,AT,SO2,Benzene,Toluene,NH3",,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,
To,01-01-2018 T15:01:59Z 00:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,,
 , ,,Mandir Marg , , , , ,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Toluene,NH3
08-02-2013 00:00,09-02-2013 00:00,MM,,,,246.21,68.97,738.63,219.57,9.79,0.0,97.02,0.0,0.0,5.54,63.79
09-02-2013 00:00,10-02-2013 00:00,MM,,,,,,,,,,,,,,
10-02-2013 00:00,11-02-2013 00:00,MM,,,,288.83,73.57,738.71,156.66,48.77,0.0,183.97,0.0,0.0,13.47,74.65
11-02-2013 00:00,12-02-2013 00:00,MM,,,,236.1,68.19,738.61,219.89,60.28,0.0,188.09,0.0,0.0,11.16,80.27
12-02-2013 00:00,13-02-2013 00:00,MM,,,,262.12,64.11,738.59,208.85,13.98,0.0,112.11,0.0,0.0,8.92,74.29
13-02-2013 00:00,14-02-2013 00:00,MM,,,,262.71,57.97,738.5,208.25,9.46,0.0,108.09,0.0,0.0,8.49,73.96
14-02-2013 00:00,15-02-2013 00:00,MM,,,,243.97,60.65,738.5,215.91,53.95,0.0,175.71,0.0,0.0,12.19,76.35
15-02-2013 00:00,16-02-2013 00:00,MM,,,,263.02,82.06,739.0,125.71,335.03,0.0,613.83,0.0,0.0,39.15,93.64
16-02-2013 00:00,17-02-2013 00:00,MM,,,,,,,,,,,,,,
17-02-2013 00:00,18-02-2013 00:00,MM,,,,199.15,77.73,738.74,238.85,33.17,0.0,148.0,0.0,0.0,8.07,60.91
