CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,
Time: 10:58:29 PM,,,,,,,,,,,,,,,,,,
Station,"DTU, New Delhi - CPCB",,,,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,NH3",,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:27:59Z 00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"DTU, New Delhi - CPCB",,,,,,,,,,,,,,,,,,
 , ,,DTU , , , , ,,,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,NH3
13-02-2013 00:00,14-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
14-02-2013 00:00,15-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
15-02-2013 00:00,16-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
16-02-2013 00:00,17-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
17-02-2013 00:00,18-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
18-02-2013 00:00,19-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
19-02-2013 00:00,20-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
20-02-2013 00:00,21-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
21-02-2013 00:00,22-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
22-02-2013 00:00,23-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
23-02-2013 00:00,24-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
24-02-2013 00:00,25-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
25-02-2013 00:00,26-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
26-02-2013 00:00,27-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
27-02-2013 00:00,28-02-2013 00:00,DTU,,,,,,,,,,,,,,,,
28-02-2013 00:00,01-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
01-03-2013 00:00,02-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
02-03-2013 00:00,03-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
03-03-2013 00:00,04-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
04-03-2013 00:00,05-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
05-03-2013 00:00,06-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
06-03-2013 00:00,07-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
07-03-2013 00:00,08-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
08-03-2013 00:00,09-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
09-03-2013 00:00,10-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
10-03-2013 00:00,11-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
11-03-2013 00:00,12-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
12-03-2013 00:00,13-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
13-03-2013 00:00,14-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
14-03-2013 00:00,15-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
15-03-2013 00:00,16-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
16-03-2013 00:00,17-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
17-03-2013 00:00,18-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
18-03-2013 00:00,19-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
19-03-2013 00:00,20-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
20-03-2013 00:00,21-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
21-03-2013 00:00,22-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
22-03-2013 00:00,23-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
23-03-2013 00:00,24-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
24-03-2013 00:00,25-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
25-03-2013 00:00,26-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
26-03-2013 00:00,27-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
27-03-2013 00:00,28-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
28-03-2013 00:00,29-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
29-03-2013 00:00,30-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
30-03-2013 00:00,31-03-2013 00:00,DTU,,,,,,,,,,,,,,,,
31-03-2013 00:00,01-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
01-04-2013 00:00,02-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
02-04-2013 00:00,03-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
03-04-2013 00:00,04-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
04-04-2013 00:00,05-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
05-04-2013 00:00,06-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
06-04-2013 00:00,07-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
07-04-2013 00:00,08-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
08-04-2013 00:00,09-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
09-04-2013 00:00,10-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
10-04-2013 00:00,11-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
11-04-2013 00:00,12-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
12-04-2013 00:00,13-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
13-04-2013 00:00,14-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
14-04-2013 00:00,15-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
15-04-2013 00:00,16-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
16-04-2013 00:00,17-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
17-04-2013 00:00,18-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
18-04-2013 00:00,19-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
19-04-2013 00:00,20-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
20-04-2013 00:00,21-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
21-04-2013 00:00,22-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
22-04-2013 00:00,23-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
23-04-2013 00:00,24-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
24-04-2013 00:00,25-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
25-04-2013 00:00,26-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
26-04-2013 00:00,27-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
27-04-2013 00:00,28-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
28-04-2013 00:00,29-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
29-04-2013 00:00,30-04-2013 00:00,DTU,,,,,,,,,,,,,,,,
30-04-2013 00:00,01-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
01-05-2013 00:00,02-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
02-05-2013 00:00,03-05-2013 00:00,DTU,,,,,,,,,,,,,,,,
