CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,,,,,
Time: 10:55:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"Burari Crossing, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:24:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,Burari Crossing , , , , ,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene
22-02-2013 00:00,23-02-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
23-02-2013 00:00,24-02-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
24-02-2013 00:00,25-02-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
25-02-2013 00:00,26-02-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
26-02-2013 00:00,27-02-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
27-02-2013 00:00,28-02-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
28-02-2013 00:00,01-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
01-03-2013 00:00,02-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
02-03-2013 00:00,03-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
03-03-2013 00:00,04-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
04-03-2013 00:00,05-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
05-03-2013 00:00,06-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
06-03-2013 00:00,07-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
07-03-2013 00:00,08-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
08-03-2013 00:00,09-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
09-03-2013 00:00,10-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
10-03-2013 00:00,11-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
11-03-2013 00:00,12-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
12-03-2013 00:00,13-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
13-03-2013 00:00,14-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
14-03-2013 00:00,15-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
15-03-2013 00:00,16-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
16-03-2013 00:00,17-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
17-03-2013 00:00,18-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
18-03-2013 00:00,19-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
19-03-2013 00:00,20-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
20-03-2013 00:00,21-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
21-03-2013 00:00,22-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
22-03-2013 00:00,23-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
23-03-2013 00:00,24-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
24-03-2013 00:00,25-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
25-03-2013 00:00,26-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
26-03-2013 00:00,27-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
27-03-2013 00:00,28-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
28-03-2013 00:00,29-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
29-03-2013 00:00,30-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
30-03-2013 00:00,31-03-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
31-03-2013 00:00,01-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
01-04-2013 00:00,02-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
02-04-2013 00:00,03-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
03-04-2013 00:00,04-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
04-04-2013 00:00,05-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
05-04-2013 00:00,06-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
06-04-2013 00:00,07-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
07-04-2013 00:00,08-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
08-04-2013 00:00,09-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
09-04-2013 00:00,10-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
10-04-2013 00:00,11-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
11-04-2013 00:00,12-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
12-04-2013 00:00,13-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
13-04-2013 00:00,14-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
14-04-2013 00:00,15-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
15-04-2013 00:00,16-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
16-04-2013 00:00,17-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
17-04-2013 00:00,18-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
18-04-2013 00:00,19-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
19-04-2013 00:00,20-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
20-04-2013 00:00,21-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
21-04-2013 00:00,22-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
22-04-2013 00:00,23-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
23-04-2013 00:00,24-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
24-04-2013 00:00,25-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
25-04-2013 00:00,26-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
26-04-2013 00:00,27-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
27-04-2013 00:00,28-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
28-04-2013 00:00,29-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
29-04-2013 00:00,30-04-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
30-04-2013 00:00,01-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
01-05-2013 00:00,02-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
02-05-2013 00:00,03-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
03-05-2013 00:00,04-05-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
