CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Saturday, Mar 10 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 03:19:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,", New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"AT,Benzene,BP,CH4,CO,Eth-Benzene,NH3,NMHC,NO,NO2,NOx,O Xylene,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,SPM,SR,Temp,WD,WS,VWS,Toluene",,,,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T16:46:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
", New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,, , , , , ,,,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,AT,Benzene,BP,CH4,CO,Eth-Benzene,Toluene,SPM,SR,Temp,WD,WS,VWS,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,NH3,NMHC,NO,NO2,NOx,O Xylene
01-01-2013 00:00,02-01-2013 00:00,RKP,,,,,121.0,,,,,,,,,4.5,,462.25,,,23.0,,,,15.0,,
02-01-2013 00:00,03-01-2013 00:00,RKP,,1.92,743.13,,0.0,,2.49,,140.3,7.05,120.8,0.68,,0.0,,0.0,,444.67,0.0,,,102.16,0.0,170.48,
03-01-2013 00:00,04-01-2013 00:00,RKP,,1.85,743.0,,0.0,,2.25,,147.75,6.38,141.0,0.48,,0.0,,0.0,,289.0,0.0,,,55.5,0.0,98.35,
04-01-2013 00:00,05-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
05-01-2013 00:00,06-01-2013 00:00,RKP,,1.84,742.88,,0.0,,2.3,,216.16,7.47,166.69,1.56,,0.0,,0.0,,284.85,0.0,,,50.7,0.0,119.63,
06-01-2013 00:00,07-01-2013 00:00,RKP,,1.88,742.84,,0.0,,2.32,,166.8,7.14,180.21,0.76,,0.0,,0.0,,514.43,0.0,,,107.75,0.0,219.71,
07-01-2013 00:00,08-01-2013 00:00,RKP,,1.8,741.0,,0.0,,2.2,,88.25,4.4,251.5,0.7,,,,0.0,,411.0,0.0,,,145.47,0.0,245.45,
08-01-2013 00:00,09-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
09-01-2013 00:00,10-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2013 00:00,11-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
11-01-2013 00:00,12-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2013 00:00,13-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2013 00:00,14-01-2013 00:00,RKP,,1.9,743.5,,0.0,,2.32,,158.28,14.33,227.33,0.43,,0.0,,0.0,,643.28,0.0,,,112.92,0.0,243.34,
14-01-2013 00:00,15-01-2013 00:00,RKP,,1.9,743.0,,0.0,,2.3,,181.25,13.35,205.5,0.3,,0.0,,0.0,,676.0,0.0,,,90.45,0.0,202.53,
15-01-2013 00:00,16-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
16-01-2013 00:00,17-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
17-01-2013 00:00,18-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
18-01-2013 00:00,19-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
19-01-2013 00:00,20-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
20-01-2013 00:00,21-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
21-01-2013 00:00,22-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
22-01-2013 00:00,23-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
23-01-2013 00:00,24-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
24-01-2013 00:00,25-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
25-01-2013 00:00,26-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
26-01-2013 00:00,27-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2013 00:00,28-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
28-01-2013 00:00,29-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
29-01-2013 00:00,30-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
30-01-2013 00:00,31-01-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2013 00:00,01-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2013 00:00,02-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
02-02-2013 00:00,03-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
03-02-2013 00:00,04-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
04-02-2013 00:00,05-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
05-02-2013 00:00,06-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2013 00:00,07-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2013 00:00,08-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
08-02-2013 00:00,09-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
09-02-2013 00:00,10-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
10-02-2013 00:00,11-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
11-02-2013 00:00,12-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
12-02-2013 00:00,13-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
13-02-2013 00:00,14-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
14-02-2013 00:00,15-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
15-02-2013 00:00,16-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
16-02-2013 00:00,17-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
17-02-2013 00:00,18-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
18-02-2013 00:00,19-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
19-02-2013 00:00,20-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
20-02-2013 00:00,21-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2013 00:00,22-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2013 00:00,23-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
23-02-2013 00:00,24-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
24-02-2013 00:00,25-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
25-02-2013 00:00,26-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
26-02-2013 00:00,27-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
27-02-2013 00:00,28-02-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
28-02-2013 00:00,01-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2013 00:00,02-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
02-03-2013 00:00,03-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
03-03-2013 00:00,04-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
04-03-2013 00:00,05-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2013 00:00,06-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
06-03-2013 00:00,07-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
07-03-2013 00:00,08-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
08-03-2013 00:00,09-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
09-03-2013 00:00,10-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
10-03-2013 00:00,11-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
11-03-2013 00:00,12-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
12-03-2013 00:00,13-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
13-03-2013 00:00,14-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2013 00:00,15-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2013 00:00,16-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
16-03-2013 00:00,17-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
17-03-2013 00:00,18-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
18-03-2013 00:00,19-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
19-03-2013 00:00,20-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
20-03-2013 00:00,21-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2013 00:00,22-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
22-03-2013 00:00,23-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2013 00:00,24-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
24-03-2013 00:00,25-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2013 00:00,26-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2013 00:00,27-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2013 00:00,28-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2013 00:00,29-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
29-03-2013 00:00,30-03-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2013 00:00,31-03-2013 00:00,RKP,,10.88,,,0.0,,31.34,,,,,,,0.0,,,,,0.0,,,29.19,0.0,66.23,
31-03-2013 00:00,01-04-2013 00:00,RKP,,11.51,,,0.0,,12.03,,,,,,,0.0,,,,,0.0,,,19.85,0.0,28.13,
01-04-2013 00:00,02-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
02-04-2013 00:00,03-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
03-04-2013 00:00,04-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
04-04-2013 00:00,05-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
05-04-2013 00:00,06-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
06-04-2013 00:00,07-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
07-04-2013 00:00,08-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
08-04-2013 00:00,09-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
09-04-2013 00:00,10-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
10-04-2013 00:00,11-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
11-04-2013 00:00,12-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
12-04-2013 00:00,13-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
13-04-2013 00:00,14-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
14-04-2013 00:00,15-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
15-04-2013 00:00,16-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
16-04-2013 00:00,17-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
17-04-2013 00:00,18-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
18-04-2013 00:00,19-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
19-04-2013 00:00,20-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
20-04-2013 00:00,21-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
21-04-2013 00:00,22-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
22-04-2013 00:00,23-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
23-04-2013 00:00,24-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
24-04-2013 00:00,25-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
25-04-2013 00:00,26-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
26-04-2013 00:00,27-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
27-04-2013 00:00,28-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
28-04-2013 00:00,29-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
29-04-2013 00:00,30-04-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
30-04-2013 00:00,01-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2013 00:00,02-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
02-05-2013 00:00,03-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
03-05-2013 00:00,04-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
04-05-2013 00:00,05-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
05-05-2013 00:00,06-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
06-05-2013 00:00,07-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
07-05-2013 00:00,08-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
08-05-2013 00:00,09-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
09-05-2013 00:00,10-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
10-05-2013 00:00,11-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2013 00:00,12-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
12-05-2013 00:00,13-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
13-05-2013 00:00,14-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
14-05-2013 00:00,15-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
15-05-2013 00:00,16-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
16-05-2013 00:00,17-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
17-05-2013 00:00,18-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
18-05-2013 00:00,19-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
19-05-2013 00:00,20-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
20-05-2013 00:00,21-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-2013 00:00,22-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
22-05-2013 00:00,23-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
23-05-2013 00:00,24-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2013 00:00,25-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2013 00:00,26-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
26-05-2013 00:00,27-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
27-05-2013 00:00,28-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2013 00:00,29-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
29-05-2013 00:00,30-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
30-05-2013 00:00,31-05-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
31-05-2013 00:00,01-06-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2013 00:00,02-06-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
02-06-2013 00:00,03-06-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-2013 00:00,04-06-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
04-06-2013 00:00,05-06-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
05-06-2013 00:00,06-06-2013 00:00,RKP,,,,,,,,,,,,,,,,,,,,,,,,,
