Date,Aerosol_Type_Land
1993-01-01,0.0
2015-05-31,1.8317649318225466
2015-11-11,1.9867338932318155
2016-01-28,1.9942418426103647
2016-02-10,2.067514811923024
2016-12-02,2.3519052739241038
2017-05-10,1.7356823955045801
2017-06-12,1.7976868829337094
2017-07-08,1.7436499311743823
2017-09-11,1.9494842113552249
2017-10-31,1.9895279523119058
1993-01-01,1.75
2015-05-15,1.8364384705625036
2015-06-04,1.7467781738415136
2016-01-18,2.1126017039218077
2016-06-15,1.913514801358032
2016-10-10,1.8446846362995535
2016-11-02,1.9744350115364138
2016-12-25,2.2313768380119092
2017-01-07,1.9082769598089933
2017-09-05,1.9479908946951703
2017-11-16,1.883653707183119
1993-01-01,0.0
2015-02-23,2.251675023295026
2015-09-11,1.8836474766099842
2015-09-15,1.7919675090252707
2016-06-29,1.884149552395998
2016-12-22,2.6030861413568713
2017-02-02,2.5036681075783176
2017-03-18,1.94286487950176
2017-03-19,1.9861612515042117
2017-04-25,1.846617265221577
2017-10-04,1.9238206367727955
1993-01-01,1.9607843137254901
2015-05-06,1.8634281366851742
2015-07-03,1.9658013893185589
2016-03-09,2.0078409041131895
2016-03-14,1.8948088481699537
2016-07-15,1.861346178882958
2016-10-16,1.9798294019160088
2016-10-24,1.9229641046037587
2017-02-14,2.3367783122579495
2017-06-02,1.891612210873273
2017-11-21,1.9548511502564467
1993-01-01,0.0
2015-01-16,2.6475001777967426
2015-04-18,1.83956072519332
2015-05-19,1.7509077912794853
2015-05-22,1.8694948841347514
2015-10-17,1.9231764705882353
2016-08-23,1.8915672429185943
2016-09-03,1.8568217188310565
2016-10-19,1.9763260079887546
2017-02-03,2.078885124336764
2017-10-25,1.881743485661909
1993-01-01,1.9393939393939394
2015-01-17,1.9607081386771577
2015-02-27,2.3234614576769586
2015-06-11,1.8317317121004117
2015-07-24,1.831184107345125
2016-05-10,1.8490899680841888
2016-12-31,2.733212234161762
2017-03-08,1.900062526052522
2017-03-12,1.8363407672584782
2017-05-13,1.917888977974815
2017-11-01,1.9485355510995694
1993-01-01,0.0
2015-01-24,2.3630942197238176
2015-02-17,1.9420431023986362
2015-05-16,1.9390254570903682
2015-06-27,1.8455159193198867
2015-12-11,2.718674200268242
2016-01-20,1.8197739213501034
2016-03-25,1.8355014300212196
2016-11-20,1.7057886849007118
2017-05-25,1.9460573070235125
2017-10-12,1.7803857712114592
1993-01-01,2.676470588235294
2015-05-01,1.835266947131023
2015-05-17,1.9216851899715688
2015-07-22,1.9076361106279354
2015-07-27,1.9945577158181174
2015-08-14,1.8708926098451466
2015-09-16,1.907885351144543
2016-03-02,2.0457063093244
2016-06-12,1.7412104895802174
2017-04-13,1.8180511423816008
2017-09-14,1.8788749806830474
1993-01-01,0.0
2015-04-07,1.927974727974728
2015-04-17,1.9289918961011536
2015-05-14,1.816975929651986
2015-08-11,1.8677467429450507
2016-01-12,2.6700163081463075
2016-03-13,1.9595031234293099
2016-03-23,1.5407523510971788
2016-09-30,1.9800079002808988
2016-10-09,1.9758475566986204
2017-01-13,2.010887007960731
1993-01-01,1.5789473684210527
2015-01-11,2.739633252203359
2015-02-26,1.9639008620689655
2015-06-22,1.85227787566071
2015-12-16,2.402347907753313
2016-01-19,1.7713866821234956
2016-04-04,1.9426315005215318
2017-07-18,1.9867263563221988
2017-09-11,1.8497131087244372
2017-10-15,1.9837542730078657
2017-11-04,1.9646176362971095
1993-01-01,1.8
2015-01-09,2.0315858453473132
2015-08-17,1.8115895953757226
2016-01-02,2.164065893320621
2016-03-07,1.7699403147042865
2016-03-22,1.9778053128124864
2016-10-05,1.7982518959217026
2017-07-21,1.799079754601227
2017-07-24,1.6595271510309835
2017-09-02,1.9907740422204847
2017-10-10,1.9302776540886828
1993-01-01,1.962962962962963
2015-02-09,2.2480604650673177
2015-07-31,1.681462140992167
2015-11-27,1.9930439426090134
2015-12-17,2.1029265031116595
2016-02-17,1.8642995612692583
2016-05-23,1.7044530079212161
2016-07-18,1.9885181975736568
2016-07-28,1.7883442036608457
2017-03-26,1.7792567567567568
2017-05-05,1.8898531473691977
1993-01-01,2.6029411764705883
2015-05-27,1.937216746996619
2015-08-29,1.8263043524124982
2015-11-18,1.9083017587513431
2016-09-24,1.8552427685950412
2017-01-09,1.9666440907551643
2017-01-23,2.6154462425893286
2017-05-21,1.7444796628477326
2017-06-30,1.8363780180044447
2017-07-12,1.8770894788593904
2018-01-01,1.7877045985970381
1993-01-01,0.0
2015-02-01,1.8056028771531327
2015-03-20,1.9900244576294217
2015-11-26,1.9465718638902996
2016-05-22,1.9391213369578417
2016-08-01,1.81580331317381
2016-11-05,1.9491185497109413
2017-01-14,2.233760876087609
2017-05-01,1.7822327348869673
2017-11-17,1.833511859219587
2017-11-30,1.7308043655944998
1993-01-01,0.0
2015-03-01,1.5180952380952382
2015-11-04,1.8454903274432628
2015-11-11,1.8580590238365493
2016-07-25,1.9067014573919685
2016-08-22,1.7569427339901478
2016-10-23,1.9376260154932732
2017-03-21,1.8346781423704501
2017-05-25,1.8811134361769428
2017-08-06,1.749304743863609
2017-12-07,1.8824289405684755
1993-01-01,0.0
2015-03-14,1.9968843469591226
2015-04-01,1.8098026951725708
2015-08-02,1.6881445930766874
2016-04-18,1.9470515610879886
2016-05-12,1.786412703379224
2016-07-17,1.9461199593358183
2016-07-18,1.8262377191292622
2016-07-22,1.8066638370118846
2017-04-17,1.9166666666666667
2017-05-19,1.8722747560329829
1993-01-01,2.3148614609571787
2015-02-06,2.258317440135622
2015-04-02,1.886387253204018
