Date,Aerosol_Type_Land
1993-01-01,2.094872754491018
2015-01-01,1.927910202238493
2015-01-02,2.04109333830144
2015-01-03,2.045043970785512
2015-01-04,1.8652572131919054
2015-01-05,2.012743593321241
2015-01-06,2.0728558161828583
2015-01-07,2.7500965690103607
2015-01-08,2.228250935677605
2015-01-09,1.9244126659856997
2015-01-10,2.3509311441656657
2015-01-11,2.5361708995745955
2015-01-12,2.4778816199376945
2015-01-13,1.8299174412562784
2015-01-14,2.60340414151448
2015-01-15,2.18933763746522
2015-01-16,2.5451596484164307
2015-01-17,1.9607081386771577
2015-01-18,2.1154377674750355
2015-01-19,2.4553165429074486
2015-01-20,1.9081463156034635
2015-01-21,2.2277254374158817
2015-01-22,2.0431237931774295
2015-01-23,2.841665417478639
2015-01-24,2.298024810309527
2015-01-25,2.666732857907551
2015-01-26,2.1310517175653354
2015-01-27,2.5599158442215137
2015-01-28,2.452193113229594
2015-01-29,1.9281345908286476
2015-01-30,2.4128873308491863
2015-01-31,2.177777128896935
2015-02-01,2.6446172297711694
2015-02-02,2.3223876443578684
2015-02-03,2.421189426860213
2015-02-04,2.472979837173536
2015-02-05,1.934861747382199
2015-02-06,2.258317440135622
2015-02-07,2.05324043395119
2015-02-08,2.662397951016488
2015-02-09,2.1793868283386013
2015-02-10,1.9785114820621599
2015-02-11,2.189402748083968
2015-02-12,2.4667363413579357
2015-02-13,2.4508457517613063
2015-02-14,1.9727210137511397
2015-02-15,2.5361855874512567
2015-02-16,2.2779297258391678
2015-02-17,2.5840490878675473
2015-02-18,2.1776097481368657
2015-02-19,2.4645322747670004
2015-02-20,2.5097535395909807
2015-02-21,1.974929709465792
2015-02-22,2.254472516563
2015-02-23,2.251675023295026
2015-02-24,2.849218076065697
2015-02-25,2.2550550268595457
2015-02-26,1.8613766730401529
2015-02-27,2.3234614576769586
2015-02-28,2.628262670901809
2015-03-01,1.7450736361750674
2015-03-02,1.7979058997248138
2015-03-03,1.9277819593550687
2015-03-04,1.9896301023315177
2015-03-05,1.9569938392167452
2015-03-06,1.9968213145309273
2015-03-07,2.025969070545193
2015-03-08,1.9834103821566502
2015-03-09,1.9376213640822373
2015-03-10,1.9914091755612071
2015-03-11,1.967080358426374
2015-03-12,1.9842029633718108
2015-03-13,1.927527107380203
2015-03-14,1.9044491924841325
2015-03-15,1.97334609579207
2015-03-16,2.0996880143464267
2015-03-17,1.9735174992211029
2015-03-18,1.9280350771306338
2015-03-19,1.9516818667697695
2015-03-20,1.9900244576294217
2015-03-21,1.9515816412939162
2015-03-22,1.9770345746924725
2015-03-23,1.951743211167004
2015-03-24,1.9860319028797289
2015-03-25,1.9297193484681028
2015-03-26,1.9727335237490744
2015-03-27,1.970235344731433
2015-03-28,1.943459443126172
2015-03-29,1.9482408573411119
2015-03-30,1.9242218581792652
2015-03-31,1.9898426419936517
2015-04-01,1.980016170327449
2015-04-02,1.9725592236520122
2015-04-03,1.85225335787823
2015-04-04,1.9532174406353837
2015-04-05,1.9713210520595588
2015-04-06,1.88918331185567
2015-04-07,1.927974727974728
2015-04-08,1.9068549081339006
2015-04-09,1.9758569153839707
2015-04-10,1.8423361567159644
2015-04-11,1.9146073847915275
2015-04-12,1.9537100519739026
2015-04-13,1.8526062628840678
2015-04-14,1.960449570745134
2015-04-15,1.7745734657499364
2015-04-16,1.9439000901878658
2015-04-17,1.8709280344660835
2015-04-18,1.950035208415123
2015-04-19,1.7716105743709523
2015-04-20,1.8710908233204762
2015-04-21,1.9112609508809921
2015-04-22,1.8350775868067637
2015-04-23,1.8734173601495925
2015-04-24,1.7788461538461537
2015-04-25,1.9491372417528565
2015-04-26,1.8462649906082935
2015-04-27,1.816541186891054
2015-04-28,1.8644565037738967
2015-04-29,1.8472295570248631
2015-04-30,1.9104844180044753
2015-05-01,1.8261610861986513
2015-05-02,1.9081075895480328
2015-05-03,1.9020433228014224
2015-05-04,1.9448857336709195
2015-05-05,1.8288196310227476
2015-05-06,1.8634281366851742
2015-05-07,1.9303339281162375
2015-05-08,1.9005773214049624
2015-05-09,1.9026882565634333
2015-05-10,1.7772274673683124
2015-05-11,1.9675247125857926
2015-05-12,1.7732431289640591
2015-05-13,1.9131760490909784
2015-05-14,1.816975929651986
2015-05-15,1.8364384705625036
2015-05-16,1.9541437403071955
2015-05-17,1.8109760301519087
2015-05-18,1.9060672824336922
2015-05-19,1.771788429536333
2015-05-20,1.9481707563242336
2015-05-21,1.7875078637548305
2015-05-22,1.8694948841347514
2015-05-23,1.9005739655130123
2015-05-24,1.8609798468033016
2015-05-25,1.7574094858045475
2015-05-26,1.744786841691283
2015-05-27,1.937216746996619
2015-05-28,1.8349502706956675
2015-05-29,1.9273808532489523
2015-05-30,1.8088507487800773
2015-05-31,1.8317649318225466
2015-06-01,1.9196348240275205
2015-06-02,1.835790273556231
2015-06-03,1.861138645864759
2015-06-04,1.837091222030981
2015-06-05,1.91794322587642
2015-06-06,1.8273917091068397
2015-06-07,1.869246788497087
2015-06-08,1.8940990724294455
2015-06-09,1.8911979581323468
2015-06-10,1.8053654499910539
2015-06-11,1.855296941281536
2015-06-12,1.8737960636515913
2015-06-13,1.8268446551183297
2015-06-14,1.9511999047222057
2015-06-15,1.749315711269258
2015-06-16,1.8367620945038763
2015-06-17,1.9403283940728875
2015-06-18,1.7929016483949838
2015-06-19,1.8576315524700675
2015-06-20,1.812083399989335
2015-06-21,1.9354377220914671
2015-06-22,1.85227787566071
2015-06-23,1.8527018109832099
2015-06-24,1.6227955108584755
2015-06-25,1.7953544625690008
2015-06-26,1.8284379562043795
2015-06-27,1.853902920033081
2015-06-28,1.9460246253698579
2015-06-29,1.7622231508566653
2015-06-30,1.8849707452571856
2015-07-01,1.7909252391785346
2015-07-02,1.8733841046670572
2015-07-03,1.9658013893185589
2015-07-04,1.883452232476927
2015-07-05,1.786372538913514
2015-07-06,1.9415617848970252
2015-07-07,1.9742472649820892
2015-07-08,1.868832183309465
2015-07-09,1.9415559772296016
2015-07-10,1.7335582948832724
2015-07-11,1.8432861864389383
