CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,
Time: 01:27:27 AM,,,,,,,,,,,,,,,,,,,,
Station,"Lodhi Road, New Delhi - IMD",,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T14:54:59Z 00:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Lodhi Road, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,
 , ,,Lodhi Road , , , , ,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone
27-02-2013 00:00,28-02-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
28-02-2013 00:00,01-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
01-03-2013 00:00,02-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
02-03-2013 00:00,03-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
03-03-2013 00:00,04-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
04-03-2013 00:00,05-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
05-03-2013 00:00,06-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
06-03-2013 00:00,07-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
07-03-2013 00:00,08-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
08-03-2013 00:00,09-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
09-03-2013 00:00,10-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
10-03-2013 00:00,11-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
11-03-2013 00:00,12-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
12-03-2013 00:00,13-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
13-03-2013 00:00,14-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
14-03-2013 00:00,15-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
15-03-2013 00:00,16-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
16-03-2013 00:00,17-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
17-03-2013 00:00,18-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
18-03-2013 00:00,19-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
19-03-2013 00:00,20-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
20-03-2013 00:00,21-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
21-03-2013 00:00,22-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
22-03-2013 00:00,23-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
23-03-2013 00:00,24-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
24-03-2013 00:00,25-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
25-03-2013 00:00,26-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
26-03-2013 00:00,27-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
27-03-2013 00:00,28-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
28-03-2013 00:00,29-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
29-03-2013 00:00,30-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
30-03-2013 00:00,31-03-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
31-03-2013 00:00,01-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
01-04-2013 00:00,02-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
02-04-2013 00:00,03-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
03-04-2013 00:00,04-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
04-04-2013 00:00,05-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
05-04-2013 00:00,06-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
06-04-2013 00:00,07-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
07-04-2013 00:00,08-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
08-04-2013 00:00,09-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
09-04-2013 00:00,10-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
10-04-2013 00:00,11-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
11-04-2013 00:00,12-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
12-04-2013 00:00,13-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
13-04-2013 00:00,14-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
14-04-2013 00:00,15-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
15-04-2013 00:00,16-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
16-04-2013 00:00,17-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
17-04-2013 00:00,18-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
18-04-2013 00:00,19-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
19-04-2013 00:00,20-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
20-04-2013 00:00,21-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
21-04-2013 00:00,22-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
22-04-2013 00:00,23-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
23-04-2013 00:00,24-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
24-04-2013 00:00,25-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
25-04-2013 00:00,26-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
26-04-2013 00:00,27-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
27-04-2013 00:00,28-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
28-04-2013 00:00,29-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
29-04-2013 00:00,30-04-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
30-04-2013 00:00,01-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
01-05-2013 00:00,02-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
02-05-2013 00:00,03-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
03-05-2013 00:00,04-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
04-05-2013 00:00,05-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
05-05-2013 00:00,06-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
06-05-2013 00:00,07-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
07-05-2013 00:00,08-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
08-05-2013 00:00,09-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
09-05-2013 00:00,10-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
10-05-2013 00:00,11-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
11-05-2013 00:00,12-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
12-05-2013 00:00,13-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
13-05-2013 00:00,14-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
14-05-2013 00:00,15-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
15-05-2013 00:00,16-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
16-05-2013 00:00,17-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
17-05-2013 00:00,18-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
18-05-2013 00:00,19-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
19-05-2013 00:00,20-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
20-05-2013 00:00,21-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
21-05-2013 00:00,22-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
22-05-2013 00:00,23-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
23-05-2013 00:00,24-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
24-05-2013 00:00,25-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
25-05-2013 00:00,26-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
26-05-2013 00:00,27-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
27-05-2013 00:00,28-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
28-05-2013 00:00,29-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
29-05-2013 00:00,30-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
30-05-2013 00:00,31-05-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
31-05-2013 00:00,01-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
01-06-2013 00:00,02-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
02-06-2013 00:00,03-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
03-06-2013 00:00,04-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
04-06-2013 00:00,05-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
05-06-2013 00:00,06-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
06-06-2013 00:00,07-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
07-06-2013 00:00,08-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
08-06-2013 00:00,09-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
09-06-2013 00:00,10-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
10-06-2013 00:00,11-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
11-06-2013 00:00,12-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
12-06-2013 00:00,13-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
13-06-2013 00:00,14-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
14-06-2013 00:00,15-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
15-06-2013 00:00,16-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
16-06-2013 00:00,17-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
17-06-2013 00:00,18-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
18-06-2013 00:00,19-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
19-06-2013 00:00,20-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
20-06-2013 00:00,21-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
21-06-2013 00:00,22-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
22-06-2013 00:00,23-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
23-06-2013 00:00,24-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
24-06-2013 00:00,25-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
25-06-2013 00:00,26-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
26-06-2013 00:00,27-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
27-06-2013 00:00,28-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
28-06-2013 00:00,29-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
29-06-2013 00:00,30-06-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
30-06-2013 00:00,01-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
01-07-2013 00:00,02-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
02-07-2013 00:00,03-07-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
