CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,
Time: 11:00:03 PM,,,,,,,,,,,,,,,,,,,,,
Station,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,MH,WS,SO2,Benzene",,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:28:59Z 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,
 , ,,East Arjun Nagar , , , , ,,,,,,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,MH,WS,SO2,Benzene
27-02-2013 00:00,28-02-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-02-2013 00:00,01-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-03-2013 00:00,02-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-03-2013 00:00,03-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-03-2013 00:00,04-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-03-2013 00:00,05-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-03-2013 00:00,06-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-03-2013 00:00,07-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-03-2013 00:00,08-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-03-2013 00:00,09-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-03-2013 00:00,10-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-03-2013 00:00,11-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-03-2013 00:00,12-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-03-2013 00:00,13-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-03-2013 00:00,14-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-03-2013 00:00,15-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-03-2013 00:00,16-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-03-2013 00:00,17-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-03-2013 00:00,18-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-03-2013 00:00,19-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-03-2013 00:00,20-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-03-2013 00:00,21-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-03-2013 00:00,22-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-03-2013 00:00,23-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-03-2013 00:00,24-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-03-2013 00:00,25-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-03-2013 00:00,26-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-03-2013 00:00,27-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-03-2013 00:00,28-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-03-2013 00:00,29-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-03-2013 00:00,30-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-03-2013 00:00,31-03-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-03-2013 00:00,01-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-04-2013 00:00,02-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-04-2013 00:00,03-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-04-2013 00:00,04-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-04-2013 00:00,05-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-04-2013 00:00,06-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-04-2013 00:00,07-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-04-2013 00:00,08-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-04-2013 00:00,09-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-04-2013 00:00,10-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-04-2013 00:00,11-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-04-2013 00:00,12-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-04-2013 00:00,13-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-04-2013 00:00,14-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-04-2013 00:00,15-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-04-2013 00:00,16-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-04-2013 00:00,17-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-04-2013 00:00,18-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-04-2013 00:00,19-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-04-2013 00:00,20-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-04-2013 00:00,21-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-04-2013 00:00,22-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-04-2013 00:00,23-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-04-2013 00:00,24-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-04-2013 00:00,25-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-04-2013 00:00,26-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-04-2013 00:00,27-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-04-2013 00:00,28-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-04-2013 00:00,29-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-04-2013 00:00,30-04-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-04-2013 00:00,01-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-05-2013 00:00,02-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-05-2013 00:00,03-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-05-2013 00:00,04-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-05-2013 00:00,05-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-05-2013 00:00,06-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-05-2013 00:00,07-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-05-2013 00:00,08-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-05-2013 00:00,09-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-05-2013 00:00,10-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-05-2013 00:00,11-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-05-2013 00:00,12-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-05-2013 00:00,13-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-05-2013 00:00,14-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-05-2013 00:00,15-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-05-2013 00:00,16-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-05-2013 00:00,17-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-05-2013 00:00,18-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-05-2013 00:00,19-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-05-2013 00:00,20-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-05-2013 00:00,21-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-05-2013 00:00,22-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-05-2013 00:00,23-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-05-2013 00:00,24-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-05-2013 00:00,25-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-05-2013 00:00,26-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-05-2013 00:00,27-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-05-2013 00:00,28-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-05-2013 00:00,29-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-05-2013 00:00,30-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-05-2013 00:00,31-05-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-05-2013 00:00,01-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-06-2013 00:00,02-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-06-2013 00:00,03-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-06-2013 00:00,04-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-06-2013 00:00,05-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-06-2013 00:00,06-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-06-2013 00:00,07-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-06-2013 00:00,08-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-06-2013 00:00,09-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-06-2013 00:00,10-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-06-2013 00:00,11-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-06-2013 00:00,12-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-06-2013 00:00,13-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-06-2013 00:00,14-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-06-2013 00:00,15-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-06-2013 00:00,16-06-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
